Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.00      0.03     0.00     7347     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node_base*&, true>(std::_Rb_tree_node_base*&, std::_Rb_tree_node_base* const&)
  0.00      0.03     0.00     4639     0.00     0.00  std::_Deque_iterator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*&, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node**>::_Deque_iterator(std::_Deque_iterator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*&, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node**> const&)
  0.00      0.03     0.00     4638     0.00     0.00  std::deque<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, std::allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*> >::empty() const
  0.00      0.03     0.00     4638     0.00     0.00  std::stack<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, std::deque<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, std::allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*> > >::empty() const
  0.00      0.03     0.00     4638     0.00     0.00  std::deque<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, std::allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*> >::end()
  0.00      0.03     0.00     4638     0.00     0.00  bool std::operator==<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*&, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node**>(std::_Deque_iterator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*&, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node**> const&, std::_Deque_iterator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*&, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node**> const&)
  0.00      0.03     0.00     4637     0.00     0.00  void __gnu_cxx::new_allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*>::destroy<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*>(AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node**)
  0.00      0.03     0.00     4637     0.00     0.00  void __gnu_cxx::new_allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*>::construct<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node* const&>(AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node**, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node* const&)
  0.00      0.03     0.00     4637     0.00     0.00  std::_Deque_iterator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*&, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node**>::operator*() const
  0.00      0.03     0.00     4637     0.00     0.00  std::_Deque_iterator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*&, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node**>::operator--()
