Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      2.88     0.00   632027     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_node()
  0.00      2.88     0.00   632027     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_drop_node(std::_Rb_tree_node<int>*)
  0.00      2.88     0.00   632027     0.00     0.00  std::_Rb_tree_node<int>* std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_create_node<int>(int&&)
  0.00      2.88     0.00   632027     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_destroy_node(std::_Rb_tree_node<int>*)
  0.00      2.88     0.00   632027     0.00     0.00  void std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_construct_node<int>(std::_Rb_tree_node<int>*, int&&)
  0.00      2.88     0.00   632027     0.00     0.00  std::_Rb_tree_node<int>*& std::forward<std::_Rb_tree_node<int>*&>(std::remove_reference<std::_Rb_tree_node<int>*&>::type&)
  0.00      2.88     0.00   631920     0.00     0.00  AVLTree<int, std::less<int> >::Node::~Node()
  0.00      2.88     0.00   500114     0.00     0.00  std::_Rb_tree_iterator<int>::operator==(std::_Rb_tree_iterator<int> const&) const
  0.00      2.88     0.00   500104     0.00     0.00  std::_Rb_tree_iterator<int>::operator--()
  0.00      2.88     0.00   466177     0.00     0.00  std::_Deque_iterator<AVLTree<int, std::less<int> >::Node*, AVLTree<int, std::less<int> >::Node*&, AVLTree<int, std::less<int> >::Node**>::_Deque_iterator(std::_Deque_iterator<AVLTree<int, std::less<int> >::Node*, AVLTree<int, std::less<int> >::Node*&, AVLTree<int, std::less<int> >::Node**> const&)
  0.00      2.88     0.00   466176     0.00     0.00  std::deque<AVLTree<int, std::less<int> >::Node*, std::allocator<AVLTree<int, std::less<int> >::Node*> >::empty() const
  0.00      2.88     0.00   466176     0.00     0.00  std::stack<AVLTree<int, std::less<int> >::Node*, std::deque<AVLTree<int, std::less<int> >::Node*, std::allocator<AVLTree<int, std::less<int> >::Node*> > >::empty() const
  0.00      2.88     0.00   466176     0.00     0.00  std::deque<AVLTree<int, std::less<int> >::Node*, std::allocator<AVLTree<int, std::less<int> >::Node*> >::end()
  0.00      2.88     0.00   466175     0.00     0.00  std::_Deque_iterator<AVLTree<int, std::less<int> >::Node*, AVLTree<int, std::less<int> >::Node*&, AVLTree<int, std::less<int> >::Node**>::operator*() const
  0.00      2.88     0.00   466175     0.00     0.00  std::_Deque_iterator<AVLTree<int, std::less<int> >::Node*, AVLTree<int, std::less<int> >::Node*&, AVLTree<int, std::less<int> >::Node**>::operator--()
  0.00      2.88     0.00   466175     0.00     0.00  void std::allocator_traits<std::allocator<AVLTree<int, std::less<int> >::Node*> >::destroy<AVLTree<int, std::less<int> >::Node*>(std::allocator<AVLTree<int, std::less<int> >::Node*>&, AVLTree<int, std::less<int> >::Node**)
  0.00      2.88     0.00   466175     0.00     0.00  void std::allocator_traits<std::allocator<AVLTree<int, std::less<int> >::Node*> >::construct<AVLTree<int, std::less<int> >::Node*, AVLTree<int, std::less<int> >::Node* const&>(std::allocator<AVLTree<int, std::less<int> >::Node*>&, AVLTree<int, std::less<int> >::Node**, AVLTree<int, std::less<int> >::Node* const&)
  0.00      2.88     0.00   466175     0.00     0.00  std::deque<AVLTree<int, std::less<int> >::Node*, std::allocator<AVLTree<int, std::less<int> >::Node*> >::back()
  0.00      2.88     0.00   466175     0.00     0.00  std::deque<AVLTree<int, std::less<int> >::Node*, std::allocator<AVLTree<int, std::less<int> >::Node*> >::push_back(AVLTree<int, std::less<int> >::Node* const&)
  0.00      2.88     0.00   466175     0.00     0.00  std::stack<AVLTree<int, std::less<int> >::Node*, std::deque<AVLTree<int, std::less<int> >::Node*, std::allocator<AVLTree<int, std::less<int> >::Node*> > >::pop()
  0.00      2.88     0.00   466175     0.00     0.00  std::stack<AVLTree<int, std::less<int> >::Node*, std::deque<AVLTree<int, std::less<int> >::Node*, std::allocator<AVLTree<int, std::less<int> >::Node*> > >::top()
  0.00      2.88     0.00   466175     0.00     0.00  std::stack<AVLTree<int, std::less<int> >::Node*, std::deque<AVLTree<int, std::less<int> >::Node*, std::allocator<AVLTree<int, std::less<int> >::Node*> > >::push(AVLTree<int, std::less<int> >::Node* const&)
  0.00      2.88     0.00   399320     0.00     0.00  std::_Rb_tree_const_iterator<int>::operator++(int)
